query_id,query,category,doc_id,job_title,company,job_location,job_level,job_type,job_summary,job_skills,source_systems,system_count,best_rank,relevance,reason,annotator,,,,
Q01,junior data analyst with SQL Tableau and Python,data,JOB_0144833,Senior Analyst,Harnham,"London, England, United Kingdom",Mid senior,Onsite,"Principal Analyst - Supply Chain & Logistics North London Up to £80,000 COMPANY: Join a dynamic organisation at the forefront of innovation, where your expertise in data analysis will play a pivotal role in shaping impactful projects within the Logistics sector. THE ROLE: As a Principal Analyst, you'll provide deep data analysis, visualisation, and decision-making support to stakeholders across Logistics and other key business areas. Applying forecasting and optimisation techniques, you'll contribute to strategic and operational decisions. Joining the Planning and Analytics team, you'll lead significant data and analytics projects, mentor junior team members, and serve as a role model within the team. Responsibilities: - Provide data analysis and decision-making support. - Build forecasting and optimisation models for strategic decisions. - Lead key data and analytics projects, drive and develop the analytics capabilities of the team within Python. - Mentor junior team members. - Manage complex stakeholder relationships. YOUR SKILLS AND EXPERIENCE: - Proven Data Analyst, preferably within logistics or retail. - Strong SQL and Python skills. - Experience with BI tools, preferably Tableau. - Ability to collaborate across departments. - Strong communication skills. - Ability to lead groups for significant projects. - Experience managing complex stakeholder relationships. BENEFITS: - Competitive salary of up to £80,000 per annum. - Opportunity to work in a dynamic and innovative environment. - Career development and mentorship opportunities. Show more Show less","Data Analysis, Data Visualization, Forecasting, Optimization, Python, SQL, Tableau, BI Tools, Communication, Teamwork, Stakeholder Management, Project Management, Business Intelligence, Data Science, Machine Learning, Statistics, Data Mining, Data Modelling, Data Warehousing, Business Analytics",bm25,1,1,1,"Навыки совпадают, но senior вместо junior",renata,,,правила:,правила:
Q01,junior data analyst with SQL Tableau and Python,data,JOB_0423481,Jr. Data Analyst,SynergisticIT,"Oklahoma City, OK",Mid senior,Onsite,"At SynergisticIT, we aim to bring aboard IT professionals to help them build a rewarding career in cutting-edge technologies. Being in the industry for more than 10 years, we provide a splendid range of lucrative opportunities to sustain a position in our top tech clients like Google, Apple, Cognizant, Client, PayPal, to name a few. Our seasoned team firmly believes that the new tech talent can scale any business if given the right opportunity. We value your integrity, hard work, and commitment to make a difference in the technical sphere. For this reason, we focus on providing end-to-end career assistance and enhancing your already existing IT skills and knowledge. Currently, we are looking for qualified entry-level Data Scientists who can apply Data Science principles to design, test, implement, and develop data-based solutions, including reporting, auditing, and preparing large databases for statistical analysis. Qualifications Minimum Background and Qualifications Requirement Bachelor's degree or Master's degree in Computer Engineering, Computer Science, Mathematics, Electrical Engineering, Information Systems, or IT Must have Mathematics or Statistics background Required Technical and Soft Skills Required Experience in Python programming and understanding of the software development life cycle. Knowledge of Linear Algebra, Statistics, and Mathematics concepts. Excellent written and verbal communication skills. Highly motivated, self-learner, team player, and technically inquisitive. Strong work ethics and creative problem-solving abilities. Preferred skills Deep Learning Data visualization NLP Scala Django Roles and Responsibilities Collaborate with dynamic teams of engineers, developers, and scientists who research and integrate algorithms to develop an application, software, and computer system solutions to address complex data problems. Assess project requirements and develop data analysis algorithms. Engage developers to share their opinions, knowledge, and recommendations to meet the deliverables. Contribute to technical solutions and implement software analyses to unlock the secrets held by big data sets. Integrate components like web-based UI, commercial indexing products, and access control mechanisms to create operational information and knowledge discovery systems. Benefits Benefits Competitive salary Flexible work schedule & part-time off E-verified No relocation H1B filing On job technical support Skill Enhancement Opportunity to work with Fortune 500 Companies Who Should Apply? Recent IT graduates looking to build a solid career in the tech industry. If you're lured by the endless possibilities presented by AI, Machine Learning, IoT, and Data Science, this job opportunity can be the right career path for you. Candidate's Outcome : Best Programmers in USA | Best Coding Bootcamp - SynergisticIT No third-party candidates or c2c candidates If you are interested, please apply to the posting. No phone calls please, Shortlisted candidates would be reached out. Show more Show less","Python, Software Development Life Cycle, Linear Algebra, Statistics, Mathematics, Data Visualization, NLP, Scala, Django, Deep Learning, Machine Learning, UI, Access Control, Data Science, Algorithms, Data Analysis, Teamwork, Problem Solving, Communication Skills, Technical Writing, Bachelor's or Master's in Computer Engineering Computer Science Mathematics Electrical Engineering Information Systems or IT, Mathematics or Statistics background","dense_flat, hnsw",2,1,2,"Junior подходит, но SQL/Tableau неявно указаны",renata,,,,
Q01,junior data analyst with SQL Tableau and Python,data,JOB_0163837,Junior Data Analyst,Red Gate,"Arlington, VA",Associate,Onsite,"Company Description At RED GATE we do everything we can to serve our clients: Using the right technical skills, unique methodologies, best practices, and integrated technology, we help clients implement bold solutions. New approaches to emerging and evolving threats. Non-traditional ways to overcome entrenched obstacles. Advantage through opportunity. If you have a serious challenge or problem, we can help you solve it. The below job description provides details on how this role will help to serve our clients. Job Description The Red Gate Group is seeking a Junior Data Analyst to support the Human Capital Management Office (HCMO), Office of the Under Secretary of Defense for Intelligence & Security (OUSD (I&S)). Elevate your career as a Junior Data Analyst with us! Dive into cutting-edge Human Capital IT initiatives within the DoD and the Intelligence Community (IC). Your role involves crafting insightful reports by analyzing and visualizing data from diverse databases, ensuring the smooth functioning of DCIPS workforce systems. As part of your role, you’ll collaborate with a dynamic team of data analysts and SMEs, managing authorization and manning info, configuring databases, and generating tailored reports. You'll be at the forefront of shaping DCIPS data initiatives, attending demos, participating in testing, evaluating ease of use, and ensuring user-friendly interfaces. If you're passionate about impactful data analysis, IT innovation, and contributing to dynamic decision-making, this is your chance! Join us in shaping the future of DCIPS human capital IT programs and fostering innovation within the DoD and IC. Apply now to be part of a dynamic team at the forefront of data-driven excellence. Qualifications Required Experience & Skills Active TS/SCI BA/BS Degree 1+ years of experience in database and business intelligence reporting tools 1+ years of experience working with intelligence information systems or architecture supporting the combatant commands, services, or the IC. 1+ years of experience of data-mining in databases such as CMIS, DCPDS, ADVANA; and visualizing analysis discovered from data-mining Experience with SAS statistical software packages Experience with basis statistics with demonstrated experience in inferential statistics Experience with visualizing data in databases Experience with microsoft excel: pivot tables, graphs, charts and formulas Experience with visualization tools such as Tableau, Qlik. Experience with coding, programing, and scripting languages in SQL, Java, Python, R. Desired Experience & Skills Program Management experience in a DoD environment OUSD(I&S) experience is highly preferred Additional Information The Red Gate Group, Ltd. is an Equal Opportunity/Affirmative Action Employer. The Red Gate Group, Ltd. considers applicants without regard to race, color, religion, age, national origin, ancestry, ethnicity, gender, gender identity, gender expression, sexual orientation, marital status, veteran status, disability, genetic information, citizenship status, or membership in any other group protected by federal, state, or local law. Know Your Rights Show more Show less","Data Analysis, Business Intelligence, Data Visualization, Database Management, Data Mining, Statistical Analysis, SAS, Inferential Statistics, Tableau, Qlik, SQL, Java, Python, R, Program Management, DoD Environment, OUSD(I&S) Experience",bm25,1,2,3,Полное совпадение: Junior + SQL + Python + Tableau,renata,,,,
Q01,junior data analyst with SQL Tableau and Python,data,JOB_0274181,"Data Analyst-SQL, Python, Visualization tool",Zortech Solutions,"Mountain View, CA",Associate,Onsite,"Role: Data Analyst-SQL, Python, Visualization tool Location: Mountain View CA (day one onsite) Duration: 6+ Months Job Description Must have: Strong SQL Python Any Visualization Tool – Tableau / Qlik sense / Power BI Qualifications 5+ years of experience in generating and sharing insights from in-product/CRM/billing-system data. Strong SQL with ability to handle large volumes of data. Experience with one or more scripting languages (Python preferred, R, Scala, etc. or shell scripting). Experience with one or more data visualization tools such as Tableau, Qlik sense, Alteryx, etc. Fluent with Google suite (spreadsheets, documents, and slides). Take responsibility and ownership like no other. Entrepreneurial and curious spirit - passionate about business and data. Able to work with technical and business stakeholders and comfortable working with a global cross-functional team. Detail-oriented with superior project management and organizational skills. Able to navigate between multiple concurrent threads and meet deadlines. Strong communication skills with the ability to interact with business leaders to make business recommendations. Master’s degree in mathematics, statistics, engineering or related field (preferred). Responsibilities Build data/analytics solutions with ‘Data as a product’ mindset leveraging data across all business groups within Intuit. Build deep subject matter expertise to be able to voice the nuances of how customer experience translates from our data. Define key business indicators and success metrics/KPIs and develop ways to track them automatically across time. Provide guidance to Business and Tech leaders and stakeholders on how best to harness available data, extract meaning, reconcile assumptions, and identify logical path for action. Collaborate with business stakeholders as well as with product development and data engineering teams to ensure we capture the right data to drive insights. Proactively uncover product data gaps that will impact customers as well as lead and manage in-product fixes across product development teams to resolve these. Leverage knowledge of data analytics principles and communication skills to develop a data driven business case needed for proposal sign off from sponsors Ability to dissect opportunity size and determine financial benefit as well as to map out effort/ROI for developing the solution Uses considerable expertise and independent judgment in collaborating with peers, product managers, developers, and data engineers, in designing and implementing the research strategy needed to methodically and iteratively structure, extract, cleanse, sample, test, validate, and communicate data-driven insights from complex sources and significant volumes of data. Be the point of contact for investigative analytics questions supporting our business stakeholders as well as MSE PMs Show more Show less","SQL, Python, Tableau, Qlik sense, Power BI, R, Scala, Shell scripting, Alteryx, Google suite, Master’s degree in mathematics statistics engineering, Data visualization, Data analytics, Datadriven business case, ROI, Research strategy, Datadriven insights","dense_flat, hnsw",2,2,2,"подходят навыки, но требуется 5+ лет опыта",renata,,,,
Q01,junior data analyst with SQL Tableau and Python,data,JOB_0334377,Data Analyst I,Mathys+Potestio / The Creative Party®,"Culver City, CA",Mid senior,Onsite,"Description: We are seeking a highly motivated and detail-oriented Data Analyst for a large, well-known tech company. This is a 3-month, remote contract position. In this role, you will play a crucial part in collecting and cleaning data from various sources, ensuring data quality in our databases, creating insightful visualizations, and maintaining dashboards. The ideal candidate will be responsible for distributing weekly reports, contributing to the overall success of our data-driven decision-making processes. Responsibilities Collect and clean data from multiple sources to maintain accurate and up-to-date databases. Ensure data quality and integrity through regular database maintenance and validation procedures. Develop and create visualizations using tools like Tableau to provide meaningful insights. Maintain and update dashboards for effective reporting and monitoring of key performance indicators. Distribute reports on a weekly basis to relevant stakeholders, ensuring timely and accurate information delivery. Qualifications Minimum one year of work experience in data coordination or data handling. Proven ability to work with large, dynamic datasets and proficiency in cleaning data from multiple sources. Experience with visualization and dashboarding tools, with a strong preference for proficiency in Tableau and familiarity with SQL for data querying and manipulation. Programming skills in languages such as Python would be considered a significant advantage and exceptional attention to detail and a commitment to maintaining high data quality standards. Education/Certifications Bachelor's degree is preferred but not required; relevant work experience will be considered as a significant factor. The pay for this W-2 position ranges from $35-41.13/per hour. This position may be eligible for PTO, health and dental insurance, and/or 401(k) benefits upon meeting certain length of service and hours requirements. Mathys+Potestio values applicants of all backgrounds and experiences. We do not discriminate based on race, color, national or ethnic origin, ancestry, age, religion or religious creed, disability or handicap, sex or gender, gender identity and/or expression, sexual orientation, military or veteran status, genetic information, or any other characteristic protected under applicable federal, state, or local law. Show more Show less","Data Analysis, Data Cleaning, Data Visualization, Tableau, SQL, Python, Data Quality Management, Data Maintenance, Dashboarding, Reporting, Data Coordination, Data Handling, Data Manipulation, Programming, Data Querying, Bachelor's Degree, Work Experience, Attention to Detail, ProblemSolving","dense_flat, hnsw",2,3,3,"Entry-level, SQL + Python + Tableau",renata,,,,
Q01,junior data analyst with SQL Tableau and Python,data,JOB_0495179,Junior Equity Analyst,Zeno Investment Partners,"London Area, United Kingdom",Mid senior,Onsite,"We are working with a new hedge fund launch for a equity hedge fund. The leadership team has a strong track record of running a successful hedge fund. They will launch in scale imminently. The Equity Analyst will be an integral part of a dynamic team, working closely with the the relevant partners across the business in a very flat structure. The Analyst's role is pivotal in driving independent idea generation through rigorous data analysis and insightful research. Key Responsibilities: Collaborative Analysis: Work in tandem with key stakeholders to define analytical goals and outline specific requirements. Data Management: Diligently collect and analyse data from diverse sources, ensuring the utmost data quality and integrity. Insightful Analytics: Employ statistical techniques and data mining methods to unearth key insights and trends. Reporting and Visualization: Craft and maintain comprehensive dashboards, reports, and visualizations to facilitate informed decision-making. Effective Communication: Clearly present findings and strategic recommendations to stakeholders, ensuring clarity and precision in delivery. Specific Duties: Sectoral Focus: Candidates will concentrate on a specific thematic or sectoral area, flexibility and growth in focus areas are encouraged. Primary Analysis Emphasis: The firm strongly advocates primary analysis. Analysts will be supported with resources for extensive travel (when necessary) and in-depth channel research. Direct engagement with companies is highly encouraged. Data Analysis and Reporting: Responsible for meticulous collection and organization of data, performing statistical analysis, and creating impactful reports and visualizations. Innovative Stock Selection: We value creative and unconventional thinking in stock selection. Each analyst's ideas will significantly contribute to their performance-based award, regardless of their adoption in the portfolio(s). All candidates must have the right to live and work in the UK, and at least two years experience as an equities analyst/research. Show more Show less","Equity analyst, Data analysis, Data mining, Statistical techniques, Analytical goals, Data quality, Data integrity, Reporting, Visualization, Presentation skills, Communication skills, Sectoral focus, Thematic focus, Channel research, Stock selection, Performancebased award, Investment management, Hedge fund, Business analysis, Equity research, Risk management, Portfolio management, Financial modeling, Financial analysis, Quantitative analysis, SQL, Python, R, Tableau, Power BI, Excel, Bloomberg Terminal, FactSet, Morningstar, PitchBook, Capital IQ, Screener, Google Finance, Yahoo Finance",bm25,1,3,0,Не Data Analyst,renata,,,,
Q01,junior data analyst with SQL Tableau and Python,data,JOB_0152534,Senior Data Analyst,WalkWater Technologies,"Cupertino, CA",Mid senior,Onsite,"REQ ID – 29996103 ROLE – Senior Data Analyst LOCATION – Santa Clara or Culver City MAIN SKILLS - Python, API Integration, SQL, Tableau, Tableau Prep, Data Engineering, Excel, Big Data, Snowflake, looking for someone who has experience with data engineering as well as data analyst, Data Analyst with good Data Engineering exp -understand API's -Python exp is very important - must have -SQL -Tableau -Big Data & Snowflake Key Qualifications 10+ years of experience as a data analyst, data engineer or data scientist 2+ years of experience with Hadoop Ecosystem e.g. Spark, Pyspark, Hive, Presto, HMS 5+ years of experience with a programming languages (Python and Scala) 6+ years of strong experience building data and analytics solutions using APIs 5+ years of experience in developing and optimizing Tableau data sources, dashboards and stories Data exploration, Transformation and ETL experience and experience working with data from multiple datas sources is strongly preferred. Ability to understand API Specs, identify relevant API calls, extract/transform data and implement SQL friendly data structures Technical proficiency with SQL and relational databases Excellent analytical and problem solving skills Strong communication and presentation skills Demonstrated ability working with multiple teams to complete critical achievements under pressure with tight deadlines Experience with Jupyter Notebook preferred Strong understanding of large-scale content management systems and data modeling strongly preferred Description Develop end to end reporting solutions for complex processes. Gather business requirements, design and build automated reporting solutions in Tableau. Create visually engaging reports and dashboards for effective communication of insights. Analyze, inspect and create reports against various data sources including APIs Enable data driven decision making by analyzing data from multiple source and present coherent insights. Provide Tableau reporting expertise and knowledge to implement decision based reporting solutions. Enhance and maintain existing production Tableau dashboards. Show more Show less","Data Analyst, Data Engineer, Data Scientist, Python, API Integration, SQL, Tableau, Tableau Prep, Data Engineering, Excel, Big Data, Snowflake, Hadoop Ecosystem, Spark, Pyspark, Hive, Presto, HMS, Scala, Jupyter Notebook, Content Management Systems, Data Modeling, Reporting Solutions, Automated Reporting, Data Visualization, DataDriven Decision Making, Coherent Insights, Tableau Expertise, Production Tableau Dashboards",bm25,1,4,1,"Навыки подходят, senior",renata,,,,
Q01,junior data analyst with SQL Tableau and Python,data,JOB_0250432,Senior Data Analyst,Compunnel Inc.,"San Antonio, TX",Mid senior,Onsite,"Primary Skills Machine Learning Python SQL SAS Summary Organizes, schedule meetings with key Business stakeholders to understand underlying problem statement and synthesize corrective user action Works with the management team to create prioritized list of needs of each business user segment Provides deep-dive analysis into business problems and provide actionable insights for the respective teams Participates in presentation of reports to key internal or external stakeholders, communicating the key findings Builds ad-hoc and standard reports and dashboards to drive consistent data-driven insights Identifies problem statements and creates supplementing data to support problem root cause Should have proven experience in database design, data-modelling, SQL server etc. Experienced in functional usage of BI tools such as SAS, Tableau, Cognos, Spotfire, Alteryx, Knime etc. Has prior experience in building statistical models. Usually works with reactive statistical models i.e. develop insights based on historical data such as high performing products in the existing sales mix Proficient with productivity tools such as MS Word, PowerPoint, Excel etc. Education: Bachelors Degree Show more Show less","Machine Learning, Python, SQL, SAS, Business Stakeholder Management, Data Analysis, Presentation Skills, Report Generation, Dashboard Creation, DataDriven Insights, Problem Identification, Data Supplementation, Database Design, Data Modelling, BI Tools (SAS Tableau Cognos Spotfire Alteryx Knime), Statistical Modeling, Productivity Tools (MS Word PowerPoint Excel), Bachelors Degree","dense_flat, hnsw",2,4,1,"Senior, Tableau неочевиден",renata,,,,
Q01,junior data analyst with SQL Tableau and Python,data,JOB_0071300,Data Analyst (Entry/Junior Level),SynergisticIT,"Bellevue, WA",Mid senior,Onsite,"At SynergisticIT, we aim to bring aboard IT professionals to help them build a rewarding career in cutting-edge technologies. Being in the industry for more than 10 years, we provide a splendid range of lucrative opportunities to sustain a position in our top tech clients like Google, Apple, Cognizant, Client, PayPal, to name a few. Our seasoned team firmly believes that the new tech talent can scale any business if given the right opportunity. We value your integrity, hard work, and commitment to make a difference in the technical sphere. For this reason, we focus on providing end-to-end career assistance and enhancing your already existing IT skills and knowledge. Currently, we are looking for qualified entry-level Data Scientists who can apply Data Science principles to design, test, implement, and develop data-based solutions, including reporting, auditing, and preparing large databases for statistical analysis. Minimum Background And Qualifications Requirement Bachelor's degree or Master's degree in Computer Engineering, Computer Science, Mathematics, Electrical Engineering, Information Systems, or IT Must have Mathematics or Statistics background Technical And Soft Skills Required Experience in Python programming and understanding of the software development life cycle. Knowledge of Linear Algebra, Statistics, and Mathematics concepts. Excellent written and verbal communication skills. Highly motivated, self-learner, team player, and technically inquisitive. Strong work ethics and creative problem-solving abilities. Preferred skills Deep Learning Data visualization NLP Scala Django Roles and Responsibilities Collaborate with dynamic teams of engineers, developers, and scientists who research and integrate algorithms to develop an application, software, and computer system solutions to address complex data problems. Assess project requirements and develop data analysis algorithms. Engage developers to share their opinions, knowledge, and recommendations to meet the deliverables. Contribute to technical solutions and implement software analyses to unlock the secrets held by big data sets. Integrate components like web-based UI, commercial indexing products, and access control mechanisms to create operational information and knowledge discovery systems. Benefits Competitive salary Flexible work schedule & part-time off E-verified No relocation H1B filing On job technical support Skill Enhancement Opportunity to work with Fortune 500 Companies Who Should Apply? Recent IT graduates looking to build a solid career in the tech industry. If you're lured by the endless possibilities presented by AI, Machine Learning, IoT, and Data Science, this job opportunity can be the right career path for you. Candidate's Outcome : Best Programmers in USA | Best Coding Bootcamp - SynergisticIT No third-party candidates or c2c candidates If you are interested, please apply to the posting. No phone calls please, Shortlisted candidates would be reached out. Show more Show less","Data Science, Python, Linear Algebra, Communication, Statistics, Mathematics, Deep Learning, Data Visualization, NLP, Scala, Django, Algorithm Development, Software Analysis, Big Data Analysis, Webbased UI Integration, Commercial Indexing Products, Access Control Mechanisms, Bachelor's or Master's Degree in Computer Engineering Computer Science Mathematics Electrical Engineering Information Systems or IT, Mathematics or Statistics Background","dense_flat, hnsw",2,5,2,"Junior Data Analyst, но SQL/Tableau отсутствуют",renata,,,"НЕ ТОЛЬКО НА ПРАВИЛА ОРИЕТИРУЕМСЯ, СМОТРИТЕ ПО ВАЙБУ",
Q01,junior data analyst with SQL Tableau and Python,data,JOB_0406295,Financial Data Analyst,Accroid Inc,"New York, NY",Associate,Onsite,"Remote Financial Data Analyst 12+ Months 8+ years of relevant experience Finance background/degree + Finance (not just Financial Services) work experience Technical skills: SQL (required), Tableau (required), Python (nice to have), some AWS exposure desired (Redshift, s3 Bucket) Show more Show less","SQL, Tableau, Python, AWS, Redshift, S3 Bucket, Financial analysis, Financial modeling, Financial reporting, Data analysis, Data visualization, Business intelligence",bm25,1,5,1,"SQL + Python + Tableau, но senior",renata,,,ПРАВИЛА НА ГЛАЗ ПРОСТО,
