system,category,query_count,ndcg_at_10,mrr_at_10,precision_at_10,recall_at_10
dense_flat,customer_service,1,0.8600766329607304,1.0,1.0,0.5555555555555556
hnsw,customer_service,1,0.8600766329607304,1.0,1.0,0.5555555555555556
bm25,customer_service,1,0.6999879633876263,1.0,0.9,0.5
dense_flat,data,4,0.6957209442108726,1.0,0.8,0.6510270774976658
hnsw,data,4,0.6951511979081595,1.0,0.8,0.6589635854341737
bm25,data,4,0.5476418513560065,0.75,0.5,0.36286181139122314
dense_flat,education,2,0.8488858167908273,1.0,0.85,0.5694444444444444
hnsw,education,2,0.8488858167908273,1.0,0.85,0.5694444444444444
bm25,education,2,0.7547078640884408,1.0,0.9,0.6111111111111112
bm25,finance,3,0.9624864626552191,1.0,0.9333333333333332,0.5937078272604589
hnsw,finance,3,0.5374398683298398,1.0,0.7333333333333334,0.4656713900134952
dense_flat,finance,3,0.5160316602411109,1.0,0.7333333333333334,0.4575742240215925
dense_flat,marketing,2,0.9415566870994048,1.0,0.95,0.615546218487395
hnsw,marketing,2,0.9415566870994048,1.0,0.95,0.615546218487395
bm25,marketing,2,0.7194601775653224,1.0,0.9,0.5861344537815126
bm25,medicine,3,0.8601003309928221,1.0,0.9,0.5198830409356725
dense_flat,medicine,3,0.8353972751088313,1.0,0.9666666666666667,0.5643274853801169
hnsw,medicine,3,0.8195338776256026,1.0,0.9666666666666667,0.5643274853801169
dense_flat,operations,2,0.9193104886886039,1.0,1.0,0.5441176470588236
hnsw,operations,2,0.9193104886886039,1.0,1.0,0.5441176470588236
bm25,operations,2,0.841673368296487,1.0,1.0,0.5441176470588236
bm25,project_management,2,0.8153215196253688,0.75,0.95,0.5845864661654135
dense_flat,project_management,2,0.6775701918280034,1.0,0.85,0.513157894736842
hnsw,project_management,2,0.6775701918280034,1.0,0.85,0.513157894736842
bm25,sales,2,0.9790388794001829,1.0,1.0,0.5409356725146199
dense_flat,sales,2,0.8226505730643123,1.0,1.0,0.5409356725146199
hnsw,sales,2,0.8226505730643123,1.0,1.0,0.5409356725146199
bm25,software,4,0.8132004750823825,0.875,0.9,0.5556860902255639
dense_flat,software,4,0.7077621700898455,1.0,0.975,0.6047932330827068
hnsw,software,4,0.7077621700898455,1.0,0.975,0.6047932330827068
