system,category,query_count,ndcg_at_10,mrr_at_10,precision_at_10,recall_at_10
dense_384,customer_service,1,0.8600766329607304,1.0,1.0,0.5555555555555556
dense_pca256,customer_service,1,0.6132569157731383,1.0,0.7,0.3888888888888889
dense_pca128,customer_service,1,0.5251562753111839,1.0,0.6,0.3333333333333333
dense_384,data,4,0.6957209442108726,1.0,0.8,0.6510270774976658
dense_pca256,data,4,0.5397386752313081,1.0,0.55,0.48109243697478987
dense_pca128,data,4,0.401293207708895,0.7916666666666667,0.4,0.3699813258636788
dense_384,education,2,0.8488858167908273,1.0,0.85,0.5694444444444444
dense_pca256,education,2,0.6120331934655877,1.0,0.6,0.3611111111111111
dense_pca128,education,2,0.4996799831495352,0.75,0.5,0.3055555555555555
dense_384,finance,3,0.5160316602411109,1.0,0.7333333333333334,0.4575742240215925
dense_pca256,finance,3,0.4049495712204618,0.8333333333333334,0.5,0.32818825910931176
dense_pca128,finance,3,0.310717167966042,0.8333333333333334,0.3333333333333333,0.217695681511471
dense_384,marketing,2,0.9415566870994048,1.0,0.95,0.615546218487395
dense_pca256,marketing,2,0.8144695230138235,1.0,0.7,0.44957983193277307
dense_pca128,marketing,2,0.5248416039656657,1.0,0.35,0.24369747899159663
dense_384,medicine,3,0.8353972751088313,1.0,0.9666666666666667,0.5643274853801169
dense_pca256,medicine,3,0.6015131389628042,1.0,0.6,0.35243664717348927
dense_pca128,medicine,3,0.3665974751348953,1.0,0.3666666666666667,0.20994152046783623
dense_384,operations,2,0.9193104886886039,1.0,1.0,0.5441176470588236
dense_pca256,operations,2,0.587635150097054,0.75,0.6,0.3264705882352941
dense_pca128,operations,2,0.5370037684580901,0.6666666666666666,0.55,0.29264705882352937
dense_384,project_management,2,0.6775701918280034,1.0,0.85,0.513157894736842
dense_pca256,project_management,2,0.5447203876603768,0.75,0.75,0.4605263157894737
dense_pca128,project_management,2,0.47667135106924924,0.625,0.65,0.3890977443609023
dense_384,sales,2,0.8226505730643123,1.0,1.0,0.5409356725146199
dense_pca256,sales,2,0.6818344086770076,1.0,0.8,0.4342105263157895
dense_pca128,sales,2,0.464068212432765,0.75,0.6000000000000001,0.32748538011695905
dense_384,software,4,0.7077621700898455,1.0,0.975,0.6047932330827068
dense_pca256,software,4,0.6240127817372632,1.0,0.85,0.524671052631579
dense_pca128,software,4,0.5018303792881116,1.0,0.7,0.4336231203007519
