system,query_id,retrieved_at_k,judged_at_k,judgement_coverage_at_k,judged_documents,relevant_judged_documents,ndcg_at_10,mrr_at_10,precision_at_10,recall_at_10,query,category,latency_ms
dense_384,Q01,10,10,1.0,20,7,0.6148352923016787,1.0,0.4,0.5714285714285714,junior data analyst with SQL Tableau and Python,data,515.2642819998619
dense_384,Q02,10,10,1.0,20,9,0.8276541850139321,1.0,0.8,0.8888888888888888,machine learning engineer with NLP PyTorch and transformers,data,19.359463999990112
dense_384,Q03,10,10,1.0,20,17,0.7671912189922424,1.0,1.0,0.5882352941176471,business intelligence analyst with Power BI and dashboard experience,data,18.91044099966166
dense_384,Q04,10,10,1.0,19,18,0.5732030805356374,1.0,1.0,0.5555555555555556,data engineer with Spark Airflow and cloud experience,data,20.23030299960737
dense_384,Q05,10,10,1.0,18,16,0.827879884347265,1.0,1.0,0.625,backend Java developer with Spring Boot and microservices,software,23.610786000062944
dense_384,Q06,10,10,1.0,17,14,0.7792059123819695,1.0,0.9,0.6428571428571429,frontend developer with React TypeScript and modern web applications,software,21.803325999826484
dense_384,Q07,10,10,1.0,19,19,0.5799041252609625,1.0,1.0,0.5263157894736842,DevOps engineer with AWS Docker Kubernetes and CI/CD,software,24.77846300007513
dense_384,Q08,10,10,1.0,16,16,0.6440587583691855,1.0,1.0,0.625,mobile iOS developer with Swift and UIKit,software,20.14399700010472
dense_384,Q09,10,10,1.0,19,19,0.9552009891550427,1.0,1.0,0.5263157894736842,registered nurse with oncology experience,medicine,19.94844499995452
dense_384,Q10,10,10,1.0,20,18,0.7020235183818109,1.0,0.9,0.5,emergency room nurse with acute care experience,medicine,19.04322600012165
dense_384,Q11,10,10,1.0,17,15,0.8489673177896404,1.0,1.0,0.6666666666666666,physical therapist for outpatient rehabilitation,medicine,19.89065700036008
dense_384,Q12,10,10,1.0,17,13,0.6518747835820288,1.0,0.6,0.46153846153846156,financial analyst with Excel Power BI and forecasting,finance,19.895456000085687
dense_384,Q13,10,10,1.0,20,19,0.5161430508899977,1.0,0.9,0.47368421052631576,accountant with tax reporting and audit experience,finance,18.819339999936343
dense_384,Q14,10,10,1.0,20,16,0.3800771462513061,1.0,0.7,0.4375,risk analyst with banking and regulatory compliance experience,finance,19.19236699995963
dense_384,Q15,10,10,1.0,16,14,0.9566150453737075,1.0,0.9,0.6428571428571429,digital marketing specialist with SEO Google Ads and analytics,marketing,18.945455999983096
dense_384,Q16,10,10,1.0,18,17,0.9264983288251022,1.0,1.0,0.5882352941176471,content marketing manager with social media strategy,marketing,18.85006400016209
dense_384,Q17,10,10,1.0,18,14,0.623400080939452,1.0,0.7,0.5,remote project manager with Agile Scrum and Jira,project_management,18.93155800007662
dense_384,Q18,10,10,1.0,19,19,0.7317403027165548,1.0,1.0,0.5263157894736842,technical project manager for software development teams,project_management,18.958983000175067
dense_384,Q19,10,10,1.0,18,18,0.877666448931519,1.0,1.0,0.5555555555555556,sales representative with B2B SaaS experience,sales,19.710813000074268
dense_384,Q20,10,10,1.0,19,19,0.7676346971971055,1.0,1.0,0.5263157894736842,account executive with CRM and enterprise sales experience,sales,23.573443999794108
dense_384,Q21,10,10,1.0,17,12,0.7860998276264536,1.0,0.7,0.5833333333333334,high school mathematics teacher,education,22.18749899975592
dense_384,Q22,10,10,1.0,18,18,0.911671805955201,1.0,1.0,0.5555555555555556,instructional designer for online learning platforms,education,21.100755999668763
dense_384,Q23,10,10,1.0,17,17,0.880543218576842,1.0,1.0,0.5882352941176471,supply chain analyst with inventory and logistics experience,operations,19.95397500013496
dense_384,Q24,10,10,1.0,20,20,0.9580777588003657,1.0,1.0,0.5,operations manager with warehouse and process improvement experience,operations,18.64805500008515
dense_384,Q25,10,10,1.0,19,18,0.8600766329607304,1.0,1.0,0.5555555555555556,customer service representative with communication and CRM skills,customer_service,19.17704900006356
dense_pca256,Q01,10,7,0.7,20,7,0.4741350216460528,1.0,0.4,0.5714285714285714,junior data analyst with SQL Tableau and Python,data,67.4521089999871
dense_pca256,Q02,10,7,0.7,20,9,0.7854057076077698,1.0,0.6,0.6666666666666666,machine learning engineer with NLP PyTorch and transformers,data,10.946096999759902
dense_pca256,Q03,10,6,0.6,20,17,0.47331147782075744,1.0,0.6,0.35294117647058826,business intelligence analyst with Power BI and dashboard experience,data,16.220334000081493
dense_pca256,Q04,10,6,0.6,19,18,0.4261024938506526,1.0,0.6,0.3333333333333333,data engineer with Spark Airflow and cloud experience,data,10.02220300006229
